                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.27239,                0.26363,                0.88924,                 0.7432,                0.76073,                0.81295,                 0.8091,                0.15246,                0.69145,                 0.7701,              0.0004654,              0.0004654,              0.0004654
                     56,                0.28578,                0.26806,                0.89471,                0.76708,                0.75191,                0.81017,                0.80644,                 0.1504,                0.74732,                 0.7685,              0.0004555,              0.0004555,              0.0004555
                     57,                0.28595,                0.27121,                0.89334,                0.77175,                0.75899,                0.79487,                0.79059,                0.15025,                0.74603,                 0.7675,              0.0004456,              0.0004456,              0.0004456
                     58,                0.28302,                0.25797,                 0.8906,                0.77088,                 0.7764,                0.81034,                0.80614,                0.15018,                0.67064,                0.76744,              0.0004357,              0.0004357,              0.0004357
                     59,                0.27551,                0.25885,                0.88524,                0.79515,                0.73891,                0.81081,                0.80719,                0.14783,                0.69217,                0.76664,              0.0004258,              0.0004258,              0.0004258
                     60,                0.28119,                 0.2576,                0.89003,                0.78052,                0.75779,                0.81143,                0.80752,                 0.1475,                0.68082,                0.76611,              0.0004159,              0.0004159,              0.0004159
                     61,                0.27942,                 0.2636,                0.89103,                0.76286,                0.76393,                0.81772,                0.81378,                0.14888,                0.67836,                0.76866,               0.000406,               0.000406,               0.000406
                     62,                0.28376,                0.26566,                0.89882,                0.75274,                0.76424,                0.80511,                0.80172,                 0.1479,                0.71019,                0.76864,              0.0003961,              0.0003961,              0.0003961
                     63,                0.27925,                0.26392,                0.89693,                0.76457,                0.75575,                0.81028,                0.80655,                0.15025,                0.69073,                0.76955,              0.0003862,              0.0003862,              0.0003862
                     64,                0.27477,                0.26128,                0.89043,                0.78391,                0.75081,                0.80992,                0.80606,                0.14978,                0.68035,                0.77068,              0.0003763,              0.0003763,              0.0003763
                     65,                0.27129,                0.25411,                 0.8877,                 0.7748,                 0.7484,                0.80808,                0.80447,                0.14835,                0.71429,                0.77099,              0.0003664,              0.0003664,              0.0003664
                     66,                0.27325,                0.26147,                0.88952,                0.77546,                0.74251,                0.80393,                0.80001,                0.14757,                0.69638,                0.76901,              0.0003565,              0.0003565,              0.0003565
                     67,                0.27617,                0.25234,                0.89362,                0.77545,                 0.7527,                0.80643,                0.80277,                0.14876,                  0.699,                0.76988,              0.0003466,              0.0003466,              0.0003466
