                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.31105,                0.32263,                0.88225,                0.76003,                0.74681,                0.80064,                0.79506,                0.16469,                0.64396,                0.76447,              0.0005149,              0.0005149,              0.0005149
                     51,                0.30834,                0.32494,                0.88036,                0.76005,                0.73825,                0.79866,                0.79336,                0.16444,                0.64918,                  0.764,               0.000505,               0.000505,               0.000505
                     52,                0.30786,                0.30954,                0.88303,                0.75283,                0.76682,                0.81206,                0.80591,                0.16318,                0.64884,                0.76307,              0.0004951,              0.0004951,              0.0004951
                     53,                0.30653,                0.30948,                0.88624,                0.74398,                0.76697,                0.80044,                0.79476,                0.16479,                 0.6706,                0.76435,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.3106,                0.31721,                0.88501,                 0.7567,                0.75142,                0.81208,                0.80669,                0.16625,                0.64388,                0.76334,              0.0004753,              0.0004753,              0.0004753
                     55,                0.29721,                   0.31,                0.88089,                0.75672,                 0.7392,                  0.802,                0.79627,                0.16368,                0.65099,                0.76414,              0.0004654,              0.0004654,              0.0004654
                     56,                0.31267,                0.31026,                0.88791,                0.75808,                0.74984,                0.80097,                0.79518,                0.16177,                 0.6847,                0.76363,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.3105,                0.31055,                0.88197,                0.74776,                0.75476,                0.80188,                0.79681,                0.16259,                0.65341,                0.76517,              0.0004456,              0.0004456,              0.0004456
                     58,                0.30234,                0.30032,                  0.881,                0.75564,                0.74354,                0.79553,                0.79062,                0.16306,                0.67519,                0.76418,              0.0004357,              0.0004357,              0.0004357
                     59,                0.29943,                0.30018,                0.87568,                0.74586,                0.74644,                0.79806,                0.79339,                0.16287,                0.67588,                0.76559,              0.0004258,              0.0004258,              0.0004258
                     60,                0.30509,                0.30013,                0.88164,                0.74901,                0.75644,                0.80976,                0.80466,                0.16188,                0.65738,                0.76596,              0.0004159,              0.0004159,              0.0004159
                     61,                0.30342,                0.30955,                0.88285,                 0.7418,                0.76583,                0.80871,                0.80376,                 0.1642,                0.65362,                0.76591,               0.000406,               0.000406,               0.000406
                     62,                0.30418,                0.30663,                0.88675,                0.74618,                0.76548,                0.79938,                0.79402,                0.16249,                0.68518,                0.76389,              0.0003961,              0.0003961,              0.0003961
                     63,                 0.3002,                0.30535,                0.88483,                0.73628,                0.76017,                0.80031,                0.79458,                 0.1621,                0.67594,                0.76447,              0.0003862,              0.0003862,              0.0003862
                     64,                0.29784,                0.30071,                0.87997,                0.72928,                0.76507,                0.80953,                0.80436,                0.16213,                0.65852,                0.76555,              0.0003763,              0.0003763,              0.0003763
                     65,                0.29114,                0.29793,                0.87199,                0.76809,                 0.7544,                0.81099,                0.80525,                0.16236,                0.65986,                0.76412,              0.0003664,              0.0003664,              0.0003664
                     66,                0.29502,                0.29949,                0.87952,                 0.7467,                0.75756,                0.80631,                0.80144,                0.16177,                 0.6535,                0.76464,              0.0003565,              0.0003565,              0.0003565
                     67,                0.29756,                0.29541,                0.88206,                0.73776,                 0.7672,                 0.8004,                0.79504,                0.15967,                0.66661,                0.76422,              0.0003466,              0.0003466,              0.0003466
                     68,                0.30336,                0.29241,                0.88533,                0.73992,                0.76026,                0.80771,                0.80308,                0.16122,                0.64157,                0.76323,              0.0003367,              0.0003367,              0.0003367
                     69,                0.30289,                0.29424,                0.88321,                0.76112,                0.75449,                0.80542,                0.80029,                 0.1599,                0.66349,                 0.7651,              0.0003268,              0.0003268,              0.0003268
                     70,                0.30402,                0.29321,                0.88412,                0.76069,                0.75094,                0.81538,                0.81011,                0.16002,                0.64341,                0.76448,              0.0003169,              0.0003169,              0.0003169
                     71,                0.30648,                 0.2996,                0.88602,                0.74671,                0.76263,                0.80781,                0.80262,                0.16104,                0.66134,                0.76507,               0.000307,               0.000307,               0.000307
                     72,                0.29533,                0.28343,                0.87827,                0.75751,                0.73776,                0.80675,                0.80143,                0.16106,                0.66948,                0.76537,              0.0002971,              0.0002971,              0.0002971
                     73,                0.28999,                 0.2856,                0.87696,                0.75622,                0.73981,                0.80421,                0.79922,                0.16117,                0.67188,                 0.7654,              0.0002872,              0.0002872,              0.0002872
                     74,                 0.2908,                 0.2767,                0.87506,                0.77589,                0.73688,                0.81067,                0.80562,                0.16229,                0.64613,                0.76576,              0.0002773,              0.0002773,              0.0002773
                     75,                0.29636,                 0.2767,                0.87602,                0.74273,                0.75028,                0.80466,                0.79992,                0.15616,                0.69312,                0.76477,              0.0002674,              0.0002674,              0.0002674
                     76,                0.29332,                 0.2853,                 0.8796,                0.73998,                0.76636,                0.80335,                0.79839,                0.16021,                0.67479,                0.76556,              0.0002575,              0.0002575,              0.0002575
                     77,                0.30299,                0.28542,                0.87983,                0.76448,                0.74632,                0.81074,                0.80601,                0.15942,                0.63667,                0.76512,              0.0002476,              0.0002476,              0.0002476
                     78,                0.29332,                 0.2786,                0.88001,                0.77499,                0.72974,                0.81108,                0.80632,                0.15882,                 0.6469,                0.76491,              0.0002377,              0.0002377,              0.0002377
                     79,                0.29232,                0.28583,                0.87574,                0.74309,                0.76726,                0.81834,                0.81331,                0.15948,                0.63441,                0.76483,              0.0002278,              0.0002278,              0.0002278
                     80,                0.29152,                0.27741,                0.88021,                0.76338,                0.75494,                0.81426,                0.80923,                0.15956,                0.64913,                0.76523,              0.0002179,              0.0002179,              0.0002179
                     81,                0.29569,                0.27491,                0.88499,                0.74262,                0.75852,                0.81139,                0.80623,                0.16025,                0.65255,                0.76576,               0.000208,               0.000208,               0.000208
                     82,                0.29758,                0.27886,                 0.8811,                0.76079,                0.74397,                0.80771,                0.80317,                0.15879,                0.65931,                0.76446,              0.0001981,              0.0001981,              0.0001981
                     83,                0.29676,                0.27423,                0.88034,                0.74396,                0.76277,                0.80769,                0.80289,                0.16051,                0.65805,                0.76511,              0.0001882,              0.0001882,              0.0001882
                     84,                0.29157,                0.27517,                0.87637,                0.77193,                0.73411,                0.81199,                0.80722,                0.15835,                0.65583,                0.76569,              0.0001783,              0.0001783,              0.0001783
                     85,                0.29535,                0.27195,                0.87743,                0.76187,                0.74238,                 0.8096,                0.80466,                0.15664,                0.65005,                0.76393,              0.0001684,              0.0001684,              0.0001684
