                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.33737,                0.65096,                0.87294,                0.77445,                0.73389,                  0.802,                0.79386,                0.18266,                0.77461,                0.76454,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.3398,                0.65141,                0.87461,                0.76324,                 0.7424,                0.80259,                0.79362,                0.18354,                 0.7802,                0.76472,              0.0005347,              0.0005347,              0.0005347
                     49,                0.34159,                0.64074,                0.87619,                0.76307,                0.74102,                0.79931,                0.79118,                0.18488,                0.77379,                 0.7648,              0.0005248,              0.0005248,              0.0005248
                     50,                0.34424,                0.65166,                0.87554,                0.75094,                0.74335,                0.79039,                0.78093,                0.18744,                0.77831,                0.76554,              0.0005149,              0.0005149,              0.0005149
                     51,                0.33746,                0.64201,                0.87236,                0.77015,                0.74482,                0.80356,                0.79464,                0.18401,                0.76875,                0.76462,               0.000505,               0.000505,               0.000505
                     52,                0.33797,                0.64163,                0.87388,                0.76824,                0.74366,                0.80875,                0.79945,                0.18212,                0.74985,                0.76443,              0.0004951,              0.0004951,              0.0004951
                     53,                0.33632,                0.61954,                0.87892,                0.77506,                0.74663,                0.80766,                  0.799,                0.18407,                0.76397,                0.76498,              0.0004852,              0.0004852,              0.0004852
                     54,                0.34482,                0.63323,                0.87771,                0.77335,                0.74553,                0.80437,                0.79608,                0.18526,                0.75771,                0.76506,              0.0004753,              0.0004753,              0.0004753
                     55,                0.32969,                0.61952,                0.87169,                0.75479,                0.74884,                0.79619,                0.78705,                0.18435,                0.77262,                0.76527,              0.0004654,              0.0004654,              0.0004654
                     56,                  0.345,                0.61545,                0.87995,                0.77207,                0.73812,                0.80115,                0.79281,                0.17901,                0.76684,                0.76424,              0.0004555,              0.0004555,              0.0004555
                     57,                0.34064,                0.62096,                 0.8721,                0.73745,                0.74849,                0.79036,                0.78162,                0.18342,                0.80045,                0.76499,              0.0004456,              0.0004456,              0.0004456
                     58,                0.33543,                0.60479,                0.87571,                0.78447,                0.71785,                0.79255,                0.78416,                0.18234,                0.77066,                0.76466,              0.0004357,              0.0004357,              0.0004357
                     59,                0.32854,                 0.5981,                0.86952,                 0.7802,                0.73727,                  0.803,                0.79381,                 0.1852,                 0.7589,                0.76512,              0.0004258,              0.0004258,              0.0004258
                     60,                0.33688,                0.60208,                 0.8768,                0.77232,                0.74547,                0.80036,                0.79199,                0.18125,                0.76076,                0.76486,              0.0004159,              0.0004159,              0.0004159
                     61,                0.34009,                0.60422,                 0.8755,                 0.7487,                0.75387,                0.79131,                0.78267,                0.18079,                0.76738,                0.76452,               0.000406,               0.000406,               0.000406
                     62,                0.33963,                0.60366,                0.87922,                0.75752,                0.74418,                0.78771,                0.77915,                0.18177,                0.76463,                0.76508,              0.0003961,              0.0003961,              0.0003961
                     63,                0.33106,                0.61161,                0.87604,                0.76175,                0.74786,                0.79519,                0.78647,                0.18053,                0.74811,                0.76499,              0.0003862,              0.0003862,              0.0003862
                     64,                0.33229,                0.58951,                0.87574,                0.76686,                0.73607,                0.78953,                0.78176,                0.18195,                0.75988,                0.76515,              0.0003763,              0.0003763,              0.0003763
